# Rime user dictionary
#@/db_name	flypyzc
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	14676
#@/user_id	c792ea34-1dd4-48ec-97e0-503b03700865
a 	啊	c=14 d=1.00229 t=13717
d 	打	c=2 d=1 t=13956
d 	的	c=272 d=9.24438 t=14676
da 	大	c=8 d=2.32529 t=14676
daan 	答案	c=3 d=1 t=11672
daf 	打	c=8 d=1 t=13953
daff 	打分	c=2 d=0.798516 t=14676
dagd 	大概	c=4 d=1.00482 t=11959
daie 	打车	c=1 d=1 t=4126
dajx 	大家	c=3 d=1.00001 t=10544
dak 	哒	c=3 d=1 t=13198
dakd 	打开	c=3 d=1.00093 t=8503
dalw 	打雷	c=1 d=1 t=14086
dapj 	大盘	c=1 d=0.927743 t=14676
dar 	打扰	c=1 d=1 t=10448
dasc 	打扫	c=2 d=1.0066 t=5014
dauu 	大叔	c=1 d=1 t=6634
dav 	答	c=1 d=1 t=12137
daxp 	大写	c=1 d=1 t=2640
daxt 	大学	c=5 d=0.172646 t=14676
daxx 	打下	c=1 d=1 t=12277
daz 	达	c=2 d=0.00915027 t=14676
dc 	到	c=19 d=0.439308 t=14676
dc 	道	c=2 d=0.847229 t=14676
dcjx 	到家	c=1 d=1 t=2656
dcli 	道理	c=4 d=1.00225 t=12030
dcr 	倒	c=4 d=1 t=14270
dcs 	导	c=1 d=1 t=3168
dcu 	倒是	c=1 d=1 t=3876
dcui 	到时	c=1 d=0.404542 t=14676
dcz 	道	c=3 d=1.11708 t=9422
ddbn 	代表	c=1 d=1 t=7869
ddf 	带	c=1 d=1 t=5024
ddi 	待	c=6 d=1.0007 t=10215
ddma 	代码	c=20 d=3.63135 t=14676
ddr 	贷	c=13 d=2.47619 t=14676
de 	得	c=22 d=0.162219 t=14676
dedc 	得到	c=3 d=1.97045 t=9231
dg 	等	c=10 d=2.24623 t=14676
dgdg 	等等	c=1 d=1 t=7220
dgh 	灯	c=1 d=1 t=6937
dgjx 	等价	c=1 d=1 t=4868
dgv 	登	c=1 d=0.390628 t=14676
dh 	当	c=2 d=0.594821 t=14676
dhqm 	当前	c=4 d=2.33054 t=14676
di 	地	c=10 d=1 t=13295
didk 	滴	c=16 d=1.34135 t=8736
diff 	低分	c=1 d=0.0812682 t=14676
difh 	地方	c=2 d=0.285076 t=14676
dig 	底	c=1 d=1 t=6337
digu 	低估	c=1 d=0.83527 t=14676
dik 	嘀	c=1 d=1 t=3009
ditp 	地铁	c=1 d=1 t=10289
div 	第	c=5 d=1.00001 t=12948
divi 	地址	c=2 d=0.763379 t=14676
diyi 	第一	c=3 d=1.00002 t=11689
dj 	但	c=1 d=0.447088 t=14676
djb 	单	c=1 d=0.218712 t=14676
djgc 	蛋糕	c=2 d=0.366045 t=14676
djui 	但是	c=12 d=0.628135 t=14676
djv 	蛋	c=1 d=1 t=13062
djww 	单位	c=1 d=0.752014 t=14676
djyr 	单元	c=2 d=0.0139575 t=14676
dk 	定	c=4 d=1.08717 t=13153
dkdj 	订单	c=11 d=2.6469 t=14676
dky 	订	c=1 d=1 t=7888
dkyi 	定义	c=2 d=1.47711 t=14676
dm 	点	c=28 d=5.91601 t=14676
dmg 	店	c=1 d=0.00634556 t=14676
dmhx 	电话	c=2 d=1 t=11390
dmxk 	典型	c=1 d=1 t=12018
dmzi 	电子	c=2 d=1.99005 t=5239
dnf 	掉	c=1 d=1 t=12315
dnia 	调查	c=3 d=2.83072 t=14676
dnyj 	调研	c=1 d=1 t=13604
dnys 	调用	c=1 d=0.744532 t=14676
do 	多	c=7 d=1.02527 t=14676
dodo 	多多	c=1 d=1 t=5323
dolv 	多虑	c=1 d=1 t=9205
douc 	多少	c=1 d=0.373439 t=14676
dpdd 	迭代	c=1 d=1 t=4991
dq 	丢	c=1 d=1 t=10649
dr 	段	c=1 d=1 t=3146
drl 	端	c=1 d=0.436049 t=14676
drm 	断	c=2 d=1 t=5541
dru 	短	c=1 d=0.0665368 t=14676
ds 	动	c=4 d=0.0944202 t=14676
dsbw 	东北	c=1 d=1 t=8574
dswu 	动物	c=1 d=1 t=6042
dsx 	懂	c=2 d=1 t=14057
dsxi 	东西	c=1 d=1 t=3669
du 	读	c=1 d=1 t=3205
dud 	渡	c=1 d=1 t=10755
dug 	度	c=3 d=1.4791 t=14676
duli 	独立	c=1 d=0.360595 t=14676
duzi 	肚子	c=1 d=1 t=13539
dv 	对	c=19 d=1.82866 t=14676
dvba 	对吧	c=1 d=1 t=13056
dvbi 	对比	c=1 d=0.782705 t=14676
dvvh 	队长	c=1 d=1 t=4370
dvwd 	对外	c=2 d=1.22355 t=14676
dvxl 	对象	c=2 d=1.00134 t=4455
dvya 	对呀	c=1 d=1 t=10826
dvyk 	对应	c=4 d=1.61706 t=14676
dvyu 	对于	c=1 d=0.771052 t=14676
dz 	都	c=21 d=0.847813 t=14676
dzd 	斗	c=1 d=1 t=12836
dzhv 	都会	c=3 d=1 t=9277
dzu 	都是	c=8 d=0.177379 t=14676
dzui 	都是	c=3 d=0.225373 t=14676
dzuo 	都说	c=1 d=1 t=3858
dzxk 	都行	c=1 d=1 t=13223
e 	二	c=2 d=1 t=13552
ee 	额	c=11 d=1.85219 t=14614
eedu 	额度	c=1 d=0.00878245 t=14676
eelp 	恶劣	c=1 d=1 t=7489
eeu 	饿	c=3 d=1 t=13542
en 	恩	c=54 d=0.356567 t=14676
enen 	恩恩	c=74 d=2.01546 t=14395
enne 	恩呢	c=2 d=1 t=11365
er 	而	c=3 d=0.847894 t=14676
erdk 	而定	c=1 d=0.465334 t=14676
erq 	而且	c=1 d=1 t=2790
f 	非	c=7 d=2.86129 t=14676
fa 	法	c=2 d=0.918512 t=14676
fabu 	发布	c=2 d=0.463013 t=14676
fadc 	发到	c=1 d=0.582748 t=14676
fadk 	法定	c=1 d=0.806541 t=14676
fadz 	发抖	c=1 d=1 t=8817
fass 	发送	c=1 d=0.00449405 t=14676
faug 	发生	c=1 d=0.535261 t=14676
fav 	发	c=12 d=3.62771 t=14676
faxm 	发现	c=3 d=1.69149 t=14676
fayr 	法院	c=1 d=0.718924 t=14676
ff 	份	c=2 d=0.666977 t=14676
ff 	分	c=29 d=6.72461 t=14676
ffbu 	分布	c=6 d=3.70122 t=14676
fflw 	分类	c=2 d=1 t=11342
ffqu 	分区	c=1 d=0.429557 t=14676
ffvi 	分支	c=1 d=0.25924 t=14676
ffvs 	分钟	c=1 d=1 t=10214
ffww 	分为	c=1 d=0.105399 t=14676
ffxi 	分析	c=2 d=0.65377 t=14676
ffxl 	分享	c=2 d=1.3624 t=5731
ffzu 	分组	c=1 d=0.00257991 t=14676
fg 	疯	c=1 d=1 t=12053
fg 	风	c=1 d=0.900325 t=14676
fga 	丰	c=3 d=2.85183 t=12514
fgge 	风格	c=1 d=1 t=6366
fgjk 	风景	c=2 d=1.96561 t=14393
fgks 	风控	c=2 d=0.32366 t=14676
fgt 	封	c=3 d=1.00146 t=13815
fgug 	丰盛	c=1 d=1 t=14634
fgvl 	封装	c=1 d=1 t=12287
fgxm 	风险	c=12 d=3.93956 t=14676
fgz 	逢	c=1 d=1 t=14111
fh 	放	c=3 d=0.847894 t=14676
fhan 	方案	c=1 d=1 t=8774
fhbm 	方便	c=2 d=1 t=13669
fhd 	方	c=2 d=0.119433 t=14676
fhdc 	放到	c=5 d=1.06704 t=14339
fhfa 	方法	c=10 d=0.723541 t=14676
fhfw 	放飞	c=1 d=1 t=12788
fhgo 	放过	c=2 d=0.0784731 t=14676
fhh 	房	c=1 d=1 t=14676
fhui 	方式	c=3 d=0.548567 t=14676
fhvc 	仿照	c=1 d=1 t=8267
fhx 	放心	c=1 d=0.349938 t=14676
fhxb 	放心	c=2 d=1 t=6813
fhzd 	放在	c=1 d=1 t=6772
fj 	反	c=1 d=0.918512 t=14676
fjhv 	返回	c=1 d=1 t=7406
fjiz 	范畴	c=1 d=0.891366 t=14676
fjmm 	反面	c=1 d=1 t=12017
fjpx 	繁	c=1 d=0.786628 t=14676
fjsi 	反思	c=1 d=1 t=10163
fju 	饭	c=2 d=1 t=14672
fjww 	范围	c=3 d=0.619242 t=14676
fjyi 	翻译	c=2 d=0.819262 t=14676
fjyk 	反映	c=1 d=0.726149 t=14676
fu 	复	c=4 d=0.704688 t=14676
fud 	负	c=1 d=1 t=8447
fuf 	敷	c=1 d=1 t=2676
fui 	辅	c=1 d=1 t=5046
fujb 	附近	c=1 d=0.00628242 t=14676
fumu 	父母	c=1 d=1 t=6396
fuo 	服	c=1 d=1 t=6353
futd 	富态	c=1 d=1 t=13027
fuvi 	复制	c=1 d=0.324652 t=14676
fuvl 	服装	c=2 d=1 t=9852
fuwu 	服务	c=5 d=1.94236 t=14676
fuza 	复杂	c=1 d=1 t=8037
fuze 	负责	c=1 d=0.423162 t=14676
fw 	费	c=1 d=1 t=8451
fwg 	废	c=1 d=0.694197 t=14676
fwih 	非常	c=1 d=1 t=9887
fwv 	飞	c=3 d=0.00188279 t=14676
fz 	否	c=2 d=0.660786 t=14676
fzze 	否则	c=2 d=0.509156 t=14676
g 	个	c=89 d=2.17797 t=14676
gc 	搞	c=1 d=1 t=6975
gc 	高	c=2 d=0.489522 t=14676
gcds 	搞懂	c=2 d=1.08982 t=5389
gcf 	搞	c=1 d=1 t=8105
gckc 	高考	c=2 d=0.123501 t=14676
gcq 	搞清	c=1 d=1 t=4690
gcsu 	告诉	c=3 d=1.00305 t=10560
gcyu 	高于	c=1 d=0.491644 t=14676
gd 	该	c=4 d=0.900325 t=14676
gdbm 	改变	c=1 d=1 t=9118
gdds 	改动	c=1 d=1 t=7736
gdi 	改成	c=1 d=1 t=8090
gdig 	改成	c=1 d=1 t=7815
gdj 	改	c=1 d=0.412714 t=14676
gdjb 	改进	c=1 d=1 t=5613
gdxx 	改下	c=1 d=1 t=7970
ge 	各	c=3 d=0.680097 t=14676
ge 	哥	c=3 d=0.0463037 t=14676
gem 	格	c=2 d=1.86071 t=9830
geui 	格式	c=1 d=0.205975 t=14676
geuu 	个数	c=2 d=1.98511 t=4384
geyt 	各月	c=2 d=1.09493 t=14676
gf 	跟	c=14 d=1.40829 t=14676
gfj 	根据	c=1 d=0.465334 t=14676
gfju 	根据	c=1 d=0.458406 t=14676
gfm 	根	c=1 d=1 t=13657
gg 	更	c=4 d=0.427415 t=14676
ggg 	庚	c=1 d=1 t=5383
gggd 	更改	c=1 d=0.282239 t=14676
gghr 	更换	c=1 d=0.384812 t=14676
ggjx 	更加	c=3 d=1.01357 t=10220
ggxb 	更新	c=1 d=1 t=7156
gh 	刚	c=4 d=1.02793 t=11222
ghgh 	刚刚	c=1 d=1 t=6884
gj 	感觉	c=6 d=1 t=14102
gjds 	感动	c=3 d=1 t=13853
gjga 	尴尬	c=1 d=1 t=4996
gjjb 	赶紧	c=2 d=1 t=7887
gjjk 	干净	c=2 d=1.75957 t=2765
gjjt 	感觉	c=12 d=1.59221 t=14076
gjlb 	甘霖	c=1 d=1 t=14112
gjma 	干嘛	c=1 d=1 t=7382
gjqk 	感情	c=2 d=1 t=9067
gjrj 	感染	c=1 d=1 t=5225
gjv 	敢	c=1 d=1 t=6999
gk 	怪	c=1 d=1 t=4516
gl 	光	c=1 d=1 t=6936
gld 	广	c=1 d=0.429557 t=14676
glgc 	广告	c=1 d=1 t=2671
glhx 	光滑	c=1 d=1 t=9398
glko 	广阔	c=1 d=1 t=13297
glz 	逛	c=2 d=1 t=9846
go 	过	c=9 d=0.778801 t=14676
goig 	过程	c=1 d=0.694197 t=14676
gojx 	国家	c=2 d=0.526601 t=14676
gok 	国	c=2 d=0.392586 t=14676
gold 	过来	c=2 d=1 t=12157
goqu 	过去	c=5 d=0.913931 t=14676
gowd 	国外	c=1 d=1 t=12786
grbi 	关闭	c=1 d=1 t=14156
gria 	观察	c=21 d=7.67316 t=14676
grjm 	关键	c=2 d=1 t=10820
grli 	管理	c=4 d=1.71418 t=14676
grlm 	关联	c=1 d=0.0028799 t=14676
grmo 	观摩	c=2 d=0.852697 t=14676
gru 	馆	c=1 d=1 t=3858
grv 	管	c=1 d=1 t=6826
grvu 	关注	c=2 d=1 t=8674
grxi 	关系	c=2 d=1.02404 t=14676
gry 	观	c=2 d=1.96079 t=3515
grys 	管用	c=1 d=1 t=13674
gsan 	公安	c=1 d=0.585669 t=14676
gsb 	公	c=1 d=0.946485 t=14676
gsdm 	供电	c=1 d=0.794534 t=14676
gsgs 	公共	c=2 d=1.56365 t=14676
gsih 	工厂	c=1 d=0.00113061 t=14676
gsju 	工具	c=2 d=0.0584257 t=14676
gskd 	公开	c=2 d=1.68731 t=14676
gsng 	功能	c=1 d=1 t=14322
gsr 	供	c=3 d=1.60506 t=14676
gss 	公司	c=1 d=0.386741 t=14676
gssi 	公司	c=2 d=0.891366 t=14676
gsts 	共同	c=1 d=1 t=4805
gsuh 	工商	c=2 d=1.01608 t=3485
gsui 	公式	c=2 d=1 t=10572
gsuv 	供水	c=1 d=0.790571 t=14676
gsvs 	公众	c=1 d=1 t=14067
gsxi 	恭喜	c=4 d=1.00005 t=13961
gsye 	工业	c=2 d=0.0901096 t=14676
gsyr 	公园	c=1 d=1 t=3492
gszo 	工作	c=5 d=1.00003 t=10650
guds 	股东	c=1 d=0.386741 t=14676
guh 	雇	c=1 d=0.965605 t=14676
guji 	估计	c=12 d=1.26907 t=14087
guji 	顾忌	c=1 d=1 t=3838
gunl 	姑娘	c=1 d=1 t=8497
guui 	故事	c=1 d=1 t=6847
gv 	贵	c=2 d=0.884989 t=14676
gvdk 	规定	c=1 d=0.763379 t=14676
gvfj 	规范	c=1 d=0.102284 t=14676
gvlv 	规律	c=1 d=1 t=12360
gvze 	规则	c=2 d=1.02858 t=13613
gw 	给	c=16 d=1.7765 t=14468
gwiu 	给出	c=2 d=0.740818 t=14676
gxp 	瓜	c=2 d=1.97045 t=11116
gxq 	刮	c=2 d=1.75957 t=2764
gz 	够	c=1 d=1 t=6170
gzd 	沟	c=2 d=1.97045 t=10302
gzk 	购	c=1 d=1 t=2935
gzts 	沟通	c=1 d=0.440432 t=14676
h 	化	c=1 d=0.00148848 t=14676
h 	和	c=14 d=4.39995 t=14676
ha 	哈	c=99 d=2.46907 t=14676
haha 	哈哈	c=109 d=3.00093 t=14636
hak 	哈	c=4 d=1 t=10219
hc 	好	c=86 d=1.76828 t=14676
hcba 	好吧	c=24 d=0.261308 t=14676
hcda 	好大	c=1 d=1 t=14217
hcdo 	好多	c=1 d=1 t=6697
hchc 	好好	c=2 d=1.01804 t=13354
hck 	号	c=3 d=0.380983 t=14676
hckj 	好看	c=1 d=1 t=3981
hckk 	好快	c=1 d=1 t=13951
hclw 	好嘞	c=2 d=1 t=10557
hcuo 	好说	c=1 d=1 t=5791
hcwj 	好玩	c=1 d=1 t=3565
hcxl 	好像	c=1 d=0.164474 t=14676
hcya 	好呀	c=6 d=1 t=12134
hcys 	好用	c=1 d=0.66365 t=14676
hd 	还	c=26 d=1.48415 t=14401
hdde 	还得	c=1 d=1 t=14620
hdhc 	还好	c=3 d=1.00918 t=4634
hdk 	嗨	c=1 d=1 t=14387
hdmw 	还没	c=1 d=0.449329 t=14676
hdng 	还能	c=4 d=0.903845 t=14676
hdnj 	海南	c=1 d=1 t=6831
hdpa 	害怕	c=1 d=1 t=5048
hdu 	还是	c=18 d=1.55078 t=14676
hdui 	还是	c=9 d=1.51685 t=13051
hdyc 	还要	c=5 d=1 t=14548
hdyz 	还有	c=12 d=1.00454 t=14283
hdzc 	还早	c=1 d=1 t=6811
hdzd 	还在	c=2 d=1.98511 t=7060
hek 	喝	c=3 d=1.6157 t=10197
hem 	核	c=2 d=1 t=14676
herm 	盒	c=1 d=1 t=11617
hetc 	核桃	c=1 d=1 t=12409
hets 	合同	c=2 d=0.740255 t=14676
heui 	合适	c=1 d=1 t=14292
hexp 	和谐	c=1 d=1 t=8590
hezo 	合作	c=1 d=0.574072 t=14676
hf 	很	c=28 d=1.1934 t=14633
hfbh 	很棒	c=1 d=1 t=3404
hfd 	很多	c=1 d=0.447088 t=14676
hfda 	很大	c=2 d=1.00748 t=6186
hfdo 	很多	c=5 d=0.927743 t=14676
hfgc 	很高	c=1 d=1 t=4107
hfkk 	很快	c=3 d=1 t=10539
hfuc 	很少	c=2 d=1 t=13383
hfxl 	很想	c=1 d=1 t=14225
hfzc 	很早	c=1 d=1 t=3286
hh 	行	c=2 d=0.160432 t=14676
hhks 	航空	c=1 d=0.615697 t=14676
hjd 	汉	c=1 d=1 t=8459
hjuu 	函数	c=20 d=4.37392 t=8161
hjyi 	含义	c=1 d=1 t=7236
hl 	黄	c=1 d=1 t=6326
ho 	或	c=2 d=0.568329 t=14676
hod 	活	c=2 d=0.00124328 t=14676
hods 	活动	c=2 d=1 t=14309
hoqu 	获取	c=1 d=0.189191 t=14676
hore 	火热	c=2 d=1 t=12802
horh 	伙	c=4 d=2.87948 t=3186
hove 	或者	c=11 d=0.438235 t=14676
hoxu 	或许	c=1 d=1 t=5726
hr 	换	c=2 d=1 t=12564
hrge 	换个	c=3 d=2.69378 t=5786
hrig 	换成	c=2 d=1 t=7433
hrjk 	环境	c=2 d=1.01156 t=14676
hrkr 	还款	c=1 d=0.302704 t=14676
hrxx 	换下	c=1 d=1 t=11658
hry 	欢	c=1 d=0.247833 t=14676
hrz 	还	c=1 d=0.268474 t=14676
hu 	壶	c=1 d=1 t=10171
hua 	互	c=1 d=0.683861 t=14676
huds 	互动	c=3 d=2.04594 t=5873
huk 	呼	c=1 d=1 t=6944
huu 	胡	c=1 d=1 t=13974
huwd 	户外	c=2 d=1.93707 t=6240
huzi 	胡子	c=1 d=1 t=2690
hv 	会	c=23 d=0.982068 t=14676
hvbc 	汇报	c=1 d=1 t=8289
hvd 	汇	c=1 d=1 t=10292
hvda 	回答	c=1 d=1 t=3380
hvfu 	恢复	c=2 d=1.86502 t=5188
hvgv 	回归	c=1 d=1 t=10550
hvhe 	回合	c=1 d=1 t=10291
hvjx 	回家	c=2 d=1.07926 t=14673
hvk 	回	c=5 d=1.00045 t=13778
hvld 	回来	c=4 d=1.00377 t=8445
hvq 	回去	c=1 d=1 t=6859
hvqu 	回去	c=2 d=1 t=13730
hvtz 	回头	c=2 d=1.02975 t=5527
hvui 	回事	c=1 d=1 t=8121
hvyi 	会议	c=1 d=1 t=10477
hvyk 	回应	c=1 d=1 t=4554
hvyz 	会有	c=1 d=0.666977 t=14676
hw 	黑	c=1 d=0.927743 t=14676
hwh 	黑黑	c=1 d=1 t=12610
hwhw 	嘿嘿	c=127 d=1.71169 t=14676
hws 	黑色	c=1 d=1 t=5048
hx 	华	c=2 d=1 t=5385
hx 	话	c=15 d=1.00004 t=14193
hxc 	花	c=1 d=0.0065062 t=14676
hxfw 	花费	c=1 d=1 t=13800
hxhv 	花卉	c=2 d=1.99501 t=3505
hxr 	化	c=4 d=1.39219 t=14676
hxti 	话题	c=1 d=1 t=5637
hxuo 	话说	c=1 d=1 t=5606
hz 	后	c=8 d=2.43121 t=14676
hzmm 	后面	c=11 d=0.752052 t=14676
hzxr 	候选	c=2 d=0.0138186 t=14676
i 	出	c=8 d=0.631284 t=14676
ia 	差	c=3 d=1.00001 t=9362
iabp 	差别	c=1 d=1 t=6185
iact 	茬	c=1 d=1 t=6092
iajm 	插件	c=1 d=0.00151098 t=14676
iaju 	差距	c=3 d=0.585669 t=14676
iam 	查	c=1 d=1 t=14676
iaru 	插入	c=1 d=0.321422 t=14676
iayi 	差异	c=1 d=0.189191 t=14676
icgo 	超过	c=1 d=0.588605 t=14676
ich 	炒	c=1 d=1 t=9728
icui 	超市	c=1 d=1 t=12724
icxm 	朝鲜	c=1 d=1 t=6875
icyh 	朝阳	c=1 d=1 t=12594
id 	拆	c=4 d=1.34125 t=14676
idff 	拆分	c=2 d=0.92738 t=14676
ie 	扯	c=1 d=1 t=14306
ie 	车	c=7 d=1 t=14472
if 	陈	c=1 d=0.171187 t=14676
ifh 	称	c=2 d=0.728998 t=14676
ifuj 	衬衫	c=3 d=1.86071 t=9832
ig 	成	c=7 d=0.212248 t=14676
igdu 	程度	c=1 d=0.718924 t=14676
igg 	成功	c=1 d=0.265803 t=14676
iggs 	成功	c=3 d=0.711567 t=14676
ighu 	称呼	c=1 d=1 t=5591
igrf 	承认	c=2 d=1 t=10597
igrh 	承让	c=1 d=1 t=3004
igxu 	程序	c=11 d=1.13435 t=14317
igy 	诚	c=2 d=1.96536 t=14676
ih 	长	c=3 d=1 t=12517
ihjl 	长江	c=1 d=1 t=13288
ihjq 	长久	c=1 d=1 t=9974
ihui 	尝试	c=1 d=0.0590129 t=14676
ihx 	常	c=1 d=1 t=3775
ihxs 	尝	c=4 d=1.00112 t=12620
ii 	吃	c=29 d=4.00567 t=14061
